Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
4.743282E-3	4.127660E-10	1.149146E+7	1.957866E-12	0.000000E+0
4.641935E-3	2.770164E-10	1.675690E+7	1.285892E-12	1.000000E-1
1.133114E-2	5.253704E-10	2.156791E+7	5.953046E-12	2.000000E-1
1.460819E-2	6.475607E-10	2.255880E+7	9.459690E-12	3.000000E-1
2.128896E-2	8.853126E-10	2.404683E+7	1.884738E-11	4.000000E-1
2.443924E-2	1.045601E-9	2.337339E+7	2.555369E-11	5.000000E-1
3.115331E-2	1.496945E-9	2.081126E+7	4.663479E-11	6.000000E-1
3.443012E-2	1.931943E-9	1.782150E+7	6.651703E-11	7.000000E-1
4.099217E-2	2.223843E-9	1.843303E+7	9.116015E-11	8.000000E-1
4.430275E-2	1.903939E-9	2.326900E+7	8.434973E-11	9.000000E-1
5.092394E-2	2.569130E-9	1.982147E+7	1.308302E-10	1.000000E+0
5.425142E-2	2.588475E-9	2.095883E+7	1.404284E-10	1.100000E+0
6.089793E-2	2.938577E-9	2.072361E+7	1.789533E-10	1.200000E+0
6.426764E-2	3.139499E-9	2.047067E+7	2.017682E-10	1.300000E+0
7.095636E-2	3.676286E-9	1.930110E+7	2.608559E-10	1.400000E+0
7.420780E-2	3.975996E-9	1.866395E+7	2.950499E-10	1.500000E+0
8.082902E-2	4.677048E-9	1.728206E+7	3.780412E-10	1.600000E+0
8.421563E-2	5.056845E-9	1.665379E+7	4.258654E-10	1.700000E+0
9.071011E-2	5.988632E-9	1.514705E+7	5.432295E-10	1.800000E+0
9.399539E-2	6.510092E-9	1.443841E+7	6.119186E-10	1.900000E+0
1.005236E-1	7.621465E-9	1.318954E+7	7.661371E-10	2.000000E+0
1.038004E-1	8.599420E-9	1.207063E+7	8.926232E-10	2.100000E+0
1.104132E-1	9.713764E-9	1.136668E+7	1.072528E-9	2.200000E+0
1.137153E-1	1.060694E-8	1.072084E+7	1.206171E-9	2.300000E+0
1.206321E-1	1.240227E-8	9.726615E+6	1.496112E-9	2.400000E+0
1.240525E-1	1.338508E-8	9.267969E+6	1.660453E-9	2.500000E+0
1.306145E-1	1.579284E-8	8.270488E+6	2.062774E-9	2.600000E+0
1.338998E-1	1.707651E-8	7.841169E+6	2.286541E-9	2.700000E+0
1.405210E-1	2.005108E-8	7.008151E+6	2.817598E-9	2.800000E+0
1.470661E-1	2.351607E-8	6.253855E+6	3.458417E-9	2.900000E+0
1.504021E-1	2.548115E-8	5.902485E+6	3.832418E-9	3.000000E+0
