Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
1.004391E-1	6.646664E-10	1.511120E+8	6.675850E-11	0.000000E+0
1.997483E-1	8.519027E-10	2.344731E+8	1.701661E-10	1.000000E-1
4.014491E-1	9.890460E-10	4.058953E+8	3.970516E-10	2.000000E-1
5.999747E-1	9.698288E-10	6.186398E+8	5.818727E-10	3.000000E-1
8.013877E-1	1.071069E-9	7.482130E+8	8.583415E-10	4.000000E-1
9.997189E-1	1.154234E-9	8.661319E+8	1.153910E-9	5.000000E-1
1.201538E+0	1.226333E-9	9.797812E+8	1.473486E-9	6.000000E-1
1.399920E+0	1.200019E-9	1.166582E+9	1.679931E-9	7.000000E-1
1.601528E+0	9.530596E-10	1.680407E+9	1.526352E-9	8.000000E-1
1.799674E+0	1.203145E-9	1.495808E+9	2.165269E-9	9.000000E-1
2.001603E+0	1.509743E-9	1.325791E+9	3.021906E-9	1.000000E+0
2.199934E+0	1.563131E-9	1.407389E+9	3.438785E-9	1.100000E+0
2.401676E+0	1.563595E-9	1.535996E+9	3.755249E-9	1.200000E+0
2.599821E+0	1.628217E-9	1.596729E+9	4.233073E-9	1.300000E+0
2.801236E+0	1.659515E-9	1.687985E+9	4.648693E-9	1.400000E+0
2.999576E+0	1.579857E-9	1.898638E+9	4.738901E-9	1.500000E+0
3.201386E+0	1.381850E-9	2.316739E+9	4.423835E-9	1.600000E+0
3.399590E+0	1.846117E-9	1.841481E+9	6.276041E-9	1.700000E+0
3.601452E+0	1.879823E-9	1.915846E+9	6.770092E-9	1.800000E+0
3.799723E+0	1.675269E-9	2.268127E+9	6.365558E-9	1.900000E+0
4.001484E+0	1.773428E-9	2.256355E+9	7.096344E-9	2.000000E+0
4.199799E+0	1.788465E-9	2.348270E+9	7.511194E-9	2.100000E+0
4.401423E+0	1.765149E-9	2.493514E+9	7.769167E-9	2.200000E+0
4.599769E+0	1.848017E-9	2.489030E+9	8.500451E-9	2.300000E+0
