Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
4.760213E-3	-6.619383E-10	-7.191324E+6	-3.150967E-12	0.000000E+0
1.132272E-2	-7.179921E-10	-1.576998E+7	-8.129624E-12	1.000000E-1
2.125518E-2	1.971049E-9	1.078369E+7	4.189500E-11	2.000000E-1
3.122930E-2	2.710449E-9	1.152182E+7	8.464542E-11	3.000000E-1
4.110193E-2	7.007287E-9	5.865598E+6	2.880130E-10	4.000000E-1
5.094077E-2	1.927293E-9	2.643125E+7	9.817779E-11	5.000000E-1
6.091474E-2	2.484481E-9	2.451809E+7	1.513415E-10	6.000000E-1
7.102384E-2	3.486804E-9	2.036932E+7	2.476462E-10	7.000000E-1
8.086266E-2	2.558353E-9	3.160731E+7	2.068752E-10	8.000000E-1
9.070994E-2	7.331303E-10	1.237296E+8	6.650221E-11	9.000000E-1
1.005742E-1	1.071809E-10	9.383594E+8	1.077963E-11	1.000000E+0
1.104214E-1	9.907131E-11	1.114565E+9	1.093959E-11	1.100000E+0
1.206488E-1	1.577806E-10	7.646618E+8	1.903604E-11	1.200000E+0
1.306227E-1	2.034189E-11	6.421365E+9	2.657113E-12	1.300000E+0
1.404870E-1	-8.322273E-11	-1.688084E+9	-1.169171E-11	1.400000E+0
1.504186E-1	-2.007877E-11	-7.491425E+9	-3.020220E-12	1.500000E+0
1.602237E-1	2.232476E-10	7.176951E+8	3.576956E-11	1.600000E+0
1.702061E-1	1.184581E-10	1.436846E+9	2.016229E-11	1.700000E+0
1.800871E-1	1.162617E-10	1.548980E+9	2.093723E-11	1.800000E+0
1.899852E-1	5.446926E-11	3.487934E+9	1.034835E-11	1.900000E+0
1.998071E-1	8.551337E-11	2.336560E+9	1.708618E-11	2.000000E+0
2.096797E-1	1.171910E-10	1.789213E+9	2.457257E-11	2.100000E+0
2.195776E-1	1.072651E-10	2.047055E+9	2.355301E-11	2.200000E+0
2.295687E-1	4.175635E-11	5.497815E+9	9.585951E-12	2.300000E+0
2.394073E-1	-6.628598E-11	-3.611734E+9	-1.586935E-11	2.400000E+0
2.494151E-1	4.940277E-10	5.048606E+8	1.232180E-10	2.500000E+0
2.592455E-1	3.688380E-10	7.028709E+8	9.561959E-11	2.500000E+0
2.691350E-1	4.619075E-11	5.826599E+9	1.243155E-11	2.600000E+0
2.791682E-1	-2.501850E-10	-1.115847E+9	-6.984370E-11	2.800000E+0
2.890154E-1	-3.583309E-11	-8.065601E+9	-1.035631E-11	2.900000E+0
2.990232E-1	1.614131E-10	1.852534E+9	4.826626E-11	3.000000E+0
3.088959E-1	3.491371E-11	8.847410E+9	1.078470E-11	3.000000E+0
3.189204E-1	3.009859E-11	1.059586E+10	9.599054E-12	3.100000E+0
3.286663E-1	-5.665587E-11	-5.801099E+9	-1.862088E-11	3.300000E+0
3.421452E-1	7.001252E-11	4.886915E+9	2.395445E-11	3.400000E+0
3.520600E-1	1.769983E-10	1.989059E+9	6.231402E-11	3.500000E+0
3.619750E-1	1.391542E-10	2.601251E+9	5.037034E-11	3.600000E+0
3.718221E-1	-7.211456E-11	-5.155992E+9	-2.681379E-11	3.600000E+0
3.818384E-1	-1.449308E-10	-2.634626E+9	-5.534014E-11	3.800000E+0
3.916857E-1	9.011722E-11	4.346402E+9	3.529763E-11	3.900000E+0
4.016260E-1	1.912746E-10	2.099735E+9	7.682085E-11	4.000000E+0
4.115070E-1	2.832664E-10	1.452721E+9	1.165661E-10	4.100000E+0
4.214133E-1	5.159723E-11	8.167363E+9	2.174376E-11	4.100000E+0
4.312607E-1	2.059544E-11	2.093962E+10	8.882004E-12	4.300000E+0
4.412431E-1	7.389825E-11	5.970955E+9	3.260709E-11	4.400000E+0
4.511496E-1	1.260186E-10	3.580024E+9	5.685324E-11	4.500000E+0
4.610134E-1	-1.022295E-10	-4.509593E+9	-4.712917E-11	4.500000E+0
4.709454E-1	-8.824896E-11	-5.336555E+9	-4.156044E-11	4.600000E+0
4.808687E-1	-1.818458E-10	-2.644376E+9	-8.744395E-11	4.700000E+0
4.907666E-1	6.701362E-11	7.323386E+9	3.288805E-11	4.900000E+0
5.006900E-1	6.899878E-11	7.256505E+9	3.454700E-11	5.000000E+0
