Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
5.105056E-2	8.708034E-13	5.862467E+10	4.445500E-14	0.000000E+0
1.004727E-1	6.920955E-11	1.451717E+9	6.953670E-12	1.000000E-1
1.998577E-1	4.800696E-11	4.163098E+9	9.594561E-12	2.000000E-1
2.990401E-1	-1.344752E-11	-2.223756E+10	-4.021348E-12	3.000000E-1
4.015835E-1	-4.208422E-11	-9.542377E+9	-1.690033E-11	4.000000E-1
5.006984E-1	-1.007250E-13	-4.970945E+12	-5.043285E-14	5.000000E-1
6.000748E-1	3.799686E-11	1.579275E+10	2.280096E-11	6.000000E-1
6.991473E-1	8.885004E-11	7.868846E+9	6.211927E-11	7.000000E-1
8.015977E-1	1.185002E-10	6.764526E+9	9.498949E-11	8.000000E-1
9.007384E-1	1.361132E-10	6.617568E+9	1.226024E-10	9.000000E-1
9.999799E-1	1.402948E-10	7.127705E+9	1.402920E-10	1.000000E+0
1.099137E+0	1.292708E-10	8.502593E+9	1.420863E-10	1.100000E+0
1.201739E+0	9.218673E-11	1.303592E+10	1.107844E-10	1.200000E+0
1.300778E+0	9.007498E-11	1.444106E+10	1.171676E-10	1.300000E+0
1.400087E+0	9.645262E-11	1.451580E+10	1.350421E-10	1.400000E+0
1.499219E+0	1.071809E-10	1.398774E+10	1.606876E-10	1.500000E+0
1.601788E+0	5.598996E-11	2.860849E+10	8.968405E-11	1.600000E+0
1.700843E+0	4.826056E-11	3.524292E+10	8.208364E-11	1.700000E+0
1.799831E+0	7.960030E-11	2.261086E+10	1.432671E-10	1.800000E+0
1.899352E+0	7.660161E-11	2.479520E+10	1.454934E-10	1.900000E+0
2.001734E+0	1.158394E-10	1.728025E+10	2.318797E-10	2.000000E+0
2.100993E+0	8.382403E-11	2.506433E+10	1.761137E-10	2.100000E+0
2.199973E+0	9.091991E-11	2.419682E+10	2.000213E-10	2.200000E+0
2.299382E+0	8.762513E-11	2.624113E+10	2.014836E-10	2.300000E+0
2.401757E+0	9.586129E-11	2.505450E+10	2.302355E-10	2.400000E+0
2.500913E+0	1.083211E-10	2.308796E+10	2.709016E-10	2.500000E+0
2.599988E+0	8.137446E-11	3.195091E+10	2.115726E-10	2.600000E+0
2.698991E+0	8.859649E-11	3.046386E+10	2.391211E-10	2.700000E+0
2.801383E+0	8.534445E-11	3.282443E+10	2.390825E-10	2.800000E+0
2.900634E+0	1.057449E-10	2.743049E+10	3.067273E-10	2.900000E+0
2.999705E+0	1.314669E-10	2.281719E+10	3.943619E-10	3.000000E+0
3.099107E+0	1.446872E-10	2.141936E+10	4.484011E-10	3.100000E+0
3.201499E+0	1.021546E-10	3.133974E+10	3.270478E-10	3.200000E+0
3.300716E+0	1.031685E-10	3.199345E+10	3.405299E-10	3.300000E+0
3.399787E+0	-9.513362E-11	-3.573697E+10	-3.234340E-10	3.400000E+0
3.498836E+0	6.519763E-11	5.366508E+10	2.281158E-10	3.500000E+0
3.601633E+0	1.592591E-10	2.261493E+10	5.735928E-10	3.600000E+0
3.700661E+0	1.611172E-10	2.296875E+10	5.962401E-10	3.700000E+0
3.799944E+0	1.223860E-10	3.104885E+10	4.650599E-10	3.800000E+0
3.898959E+0	1.224706E-10	3.183588E+10	4.775078E-10	3.900000E+0
4.001706E+0	8.669607E-11	4.615787E+10	3.469322E-10	4.000000E+0
4.100728E+0	9.091974E-11	4.510272E+10	3.728371E-10	4.100000E+0
4.199855E+0	9.543868E-11	4.400580E+10	4.008286E-10	4.200000E+0
4.298958E+0	1.107289E-10	3.882417E+10	4.760189E-10	4.300000E+0
4.401626E+0	1.170642E-10	3.760010E+10	5.152728E-10	4.400000E+0
4.500758E+0	1.162195E-10	3.872636E+10	5.230758E-10	4.500000E+0
