Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
2.499867E-3	2.122808E-7	1.177623E+4	5.306738E-10	0.000000E+0
5.018514E-3	4.473885E-7	1.121735E+4	2.245225E-9	1.000000E-1
1.001949E-2	9.868683E-7	1.015281E+4	9.887917E-9	2.000000E-1
1.499682E-2	1.634974E-6	9.172513E+3	2.451941E-8	4.000000E-1
2.002449E-2	2.427950E-6	8.247489E+3	4.861846E-8	6.000000E-1
2.501601E-2	3.381274E-6	7.398398E+3	8.458598E-8	6.000000E-1
3.000677E-2	4.534695E-6	6.617153E+3	1.360715E-7	7.000000E-1
3.500582E-2	5.932824E-6	5.900364E+3	2.076834E-7	8.000000E-1
4.000037E-2	7.624852E-6	5.246052E+3	3.049969E-7	9.000000E-1
4.502769E-2	9.687503E-6	4.648018E+3	4.362059E-7	1.000000E+0
5.000560E-2	1.214751E-5	4.116531E+3	6.074435E-7	1.300000E+0
5.499831E-2	1.514613E-5	3.631179E+3	8.330116E-7	1.400000E+0
5.998486E-2	1.877211E-5	3.195424E+3	1.126042E-6	1.500000E+0
6.501135E-2	2.319859E-5	2.802384E+3	1.508172E-6	1.600000E+0
7.000533E-2	2.852757E-5	2.453953E+3	1.997082E-6	1.700000E+0
7.499871E-2	3.497926E-5	2.144091E+3	2.623399E-6	1.800000E+0
7.999105E-2	4.278466E-5	1.869620E+3	3.422390E-6	1.900000E+0
8.501711E-2	5.230766E-5	1.625328E+3	4.447046E-6	2.000000E+0
9.001393E-2	6.377221E-5	1.411491E+3	5.740387E-6	2.100000E+0
9.500452E-2	7.763197E-5	1.223781E+3	7.375388E-6	2.200000E+0
9.999884E-2	9.441991E-5	1.059086E+3	9.441881E-6	2.300000E+0
1.050121E-1	1.147573E-4	9.150799E+2	1.205091E-5	2.600000E+0
1.100021E-1	1.393166E-4	7.895836E+2	1.532512E-5	2.700000E+0
1.149975E-1	1.690547E-4	6.802384E+2	1.944087E-5	2.800000E+0
1.199894E-1	2.050070E-4	5.852942E+2	2.459867E-5	2.900000E+0
1.250157E-1	2.487843E-4	5.025064E+2	3.110194E-5	3.000000E+0
1.300084E-1	3.014064E-4	4.313392E+2	3.918536E-5	3.100000E+0
1.350020E-1	3.649948E-4	3.698738E+2	4.927503E-5	3.200000E+0
1.399966E-1	4.418369E-4	3.168513E+2	6.185566E-5	3.300000E+0
1.450257E-1	5.353668E-4	2.708904E+2	7.764194E-5	3.400000E+0
1.500215E-1	6.474831E-4	2.316995E+2	9.713639E-5	3.500000E+0
1.550163E-1	7.827548E-4	1.980394E+2	1.213398E-4	3.600000E+0
1.600122E-1	9.458431E-4	1.691741E+2	1.513464E-4	3.700000E+0
1.650186E-1	1.142368E-3	1.444531E+2	1.885120E-4	4.000000E+0
1.700154E-1	1.378534E-3	1.233306E+2	2.343720E-4	4.100000E+0
1.750080E-1	1.662230E-3	1.052851E+2	2.909035E-4	4.200000E+0
1.799998E-1	2.002559E-3	8.988489E+1	3.604602E-4	4.300000E+0
1.850279E-1	2.413252E-3	7.667160E+1	4.465189E-4	4.400000E+0
1.900216E-1	2.901028E-3	6.550147E+1	5.512580E-4	4.500000E+0
1.950123E-1	3.482599E-3	5.599620E+1	6.791496E-4	4.600000E+0
2.000031E-1	4.174125E-3	4.791498E+1	8.348379E-4	4.700000E+0
2.049983E-1	4.994684E-3	4.104330E+1	1.023902E-3	4.800000E+0
2.100244E-1	5.970878E-3	3.517479E+1	1.254030E-3	4.900000E+0
2.150193E-1	7.113301E-3	3.022778E+1	1.529497E-3	5.000000E+0
2.200143E-1	8.451133E-3	2.603370E+1	1.859370E-3	5.100000E+0
2.250117E-1	1.001181E-2	2.247463E+1	2.252774E-3	5.100000E+0
2.300167E-1	1.182139E-2	1.945767E+1	2.719117E-3	5.400000E+0
2.350092E-1	1.390214E-2	1.690453E+1	3.267131E-3	5.600000E+0
2.400038E-1	1.628509E-2	1.473764E+1	3.908483E-3	5.600000E+0
2.449950E-1	1.899105E-2	1.290055E+1	4.652712E-3	5.700000E+0
2.500214E-1	2.206630E-2	1.133046E+1	5.517047E-3	5.800000E+0
2.550170E-1	2.549259E-2	1.000357E+1	6.501044E-3	5.900000E+0
2.600099E-1	2.929763E-2	8.874776E+0	7.617674E-3	6.000000E+0
