Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
1.007347E-1	2.012609E-6	5.005180E+4	2.027396E-7	0.000000E+0
2.000523E-1	2.128190E-6	9.400115E+4	4.257493E-7	2.000000E-1
4.018461E-1	2.256364E-6	1.780945E+5	9.067111E-7	3.000000E-1
6.003039E-1	2.365161E-6	2.538110E+5	1.419815E-6	3.000000E-1
8.018950E-1	2.464538E-6	3.253734E+5	1.976301E-6	4.000000E-1
1.000234E+0	2.554654E-6	3.915340E+5	2.555252E-6	5.000000E-1
1.201994E+0	2.640565E-6	4.552033E+5	3.173943E-6	6.000000E-1
1.400418E+0	2.720537E-6	5.147579E+5	3.809889E-6	8.000000E-1
1.602077E+0	2.797907E-6	5.725984E+5	4.482462E-6	8.000000E-1
1.800249E+0	2.870913E-6	6.270650E+5	5.168358E-6	9.000000E-1
2.002007E+0	2.942701E-6	6.803297E+5	5.891308E-6	1.000000E+0
2.200432E+0	3.011014E-6	7.307943E+5	6.625532E-6	1.100000E+0
2.402208E+0	3.078486E-6	7.803212E+5	7.395164E-6	1.200000E+0
2.600405E+0	3.143201E-6	8.273111E+5	8.173596E-6	1.300000E+0
2.801827E+0	3.207891E-6	8.734171E+5	8.987956E-6	1.400000E+0
3.000074E+0	3.270390E-6	9.173444E+5	9.811412E-6	1.500000E+0
3.201901E+0	3.332477E-6	9.608171E+5	1.067026E-5	1.600000E+0
3.400138E+0	3.392629E-6	1.002213E+6	1.153541E-5	1.700000E+0
3.602019E+0	3.452974E-6	1.043164E+6	1.243768E-5	1.800000E+0
3.800341E+0	3.511258E-6	1.082330E+6	1.334398E-5	1.900000E+0
4.002177E+0	3.570134E-6	1.121016E+6	1.428831E-5	2.000000E+0
4.200423E+0	3.627233E-6	1.158024E+6	1.523591E-5	2.100000E+0
4.402098E+0	3.684862E-6	1.194644E+6	1.622112E-5	2.200000E+0
4.600523E+0	3.740717E-6	1.229851E+6	1.720925E-5	2.300000E+0
4.802130E+0	3.797009E-6	1.264714E+6	1.823373E-5	2.400000E+0
5.000514E+0	3.852076E-6	1.298135E+6	1.926236E-5	2.500000E+0
5.202399E+0	3.907719E-6	1.331313E+6	2.032951E-5	2.600000E+0
5.400511E+0	3.961607E-6	1.363212E+6	2.139470E-5	2.700000E+0
5.602154E+0	4.016183E-6	1.394895E+6	2.249928E-5	2.800000E+0
5.800604E+0	4.069170E-6	1.425501E+6	2.360364E-5	2.900000E+0
6.002065E+0	4.122975E-6	1.455761E+6	2.474636E-5	3.000000E+0
6.199922E+0	4.176177E-6	1.484593E+6	2.589197E-5	3.100000E+0
6.401641E+0	4.230179E-6	1.513326E+6	2.708009E-5	3.200000E+0
6.600066E+0	4.282330E-6	1.541232E+6	2.826366E-5	3.300000E+0
6.801642E+0	4.335486E-6	1.568830E+6	2.948842E-5	3.400000E+0
7.000276E+0	4.387870E-6	1.595370E+6	3.071630E-5	3.500000E+0
7.201809E+0	4.440838E-6	1.621723E+6	3.198207E-5	3.600000E+0
7.400259E+0	4.492737E-6	1.647161E+6	3.324742E-5	3.700000E+0
7.601873E+0	4.545383E-6	1.672438E+6	3.455342E-5	3.800000E+0
7.800237E+0	4.596856E-6	1.696863E+6	3.585657E-5	3.900000E+0
8.001851E+0	4.649117E-6	1.721155E+6	3.720154E-5	4.000000E+0
8.200382E+0	4.700712E-6	1.744498E+6	3.854763E-5	4.100000E+0
8.401964E+0	4.752954E-6	1.767735E+6	3.993415E-5	4.200000E+0
8.600487E+0	4.804268E-6	1.790176E+6	4.131904E-5	4.300000E+0
8.802128E+0	4.856409E-6	1.812477E+6	4.274673E-5	4.400000E+0
9.000190E+0	4.907512E-6	1.833962E+6	4.416854E-5	4.500000E+0
9.201960E+0	4.959712E-6	1.855342E+6	4.563907E-5	4.600000E+0
9.400183E+0	5.010954E-6	1.875927E+6	4.710388E-5	4.700000E+0
9.601649E+0	5.062869E-6	1.896484E+6	4.861189E-5	4.800000E+0
9.799960E+0	5.113826E-6	1.916366E+6	5.011529E-5	4.900000E+0
1.000171E+1	5.166050E-6	1.936046E+6	5.166933E-5	5.000000E+0
1.020007E+1	5.217436E-6	1.954997E+6	5.321821E-5	5.100000E+0
1.040196E+1	5.269574E-6	1.973966E+6	5.481390E-5	5.200000E+0
1.060030E+1	5.321075E-6	1.992135E+6	5.640499E-5	5.300000E+0
1.080198E+1	5.372958E-6	2.010434E+6	5.803858E-5	5.400000E+0
1.100022E+1	5.424043E-6	2.028048E+6	5.966567E-5	5.500000E+0
1.120200E+1	5.476290E-6	2.045545E+6	6.134540E-5	5.600000E+0
1.140032E+1	5.528203E-6	2.062211E+6	6.302328E-5	5.700000E+0
1.160204E+1	5.580663E-6	2.078972E+6	6.474708E-5	5.800000E+0
1.180032E+1	5.632380E-6	2.095086E+6	6.646389E-5	5.900000E+0
1.200216E+1	5.684182E-6	2.111502E+6	6.822246E-5	6.000000E+0
1.220051E+1	5.736584E-6	2.126790E+6	6.998925E-5	6.100000E+0
1.240225E+1	5.789678E-6	2.142131E+6	7.180503E-5	6.200000E+0
1.260043E+1	5.841253E-6	2.157145E+6	7.360230E-5	6.300000E+0
1.280187E+1	5.894179E-6	2.171951E+6	7.545651E-5	6.400000E+0
1.300034E+1	5.946659E-6	2.186159E+6	7.730859E-5	6.500000E+0
1.320209E+1	5.999918E-6	2.200378E+6	7.921146E-5	6.600000E+0
1.340075E+1	6.052669E-6	2.214023E+6	8.111030E-5	6.700000E+0
1.360218E+1	6.106585E-6	2.227461E+6	8.306287E-5	6.800000E+0
1.380089E+1	6.160924E-6	2.240068E+6	8.502623E-5	6.900000E+0
1.400256E+1	6.213783E-6	2.253468E+6	8.700887E-5	7.000000E+0
1.420099E+1	6.266693E-6	2.266106E+6	8.899324E-5	7.100000E+0
1.440253E+1	6.320231E-6	2.278798E+6	9.102732E-5	7.200000E+0
1.460104E+1	6.373388E-6	2.290939E+6	9.305809E-5	7.300000E+0
1.480278E+1	6.427626E-6	2.302993E+6	9.514673E-5	7.400000E+0
1.500127E+1	6.481908E-6	2.314329E+6	9.723685E-5	7.500000E+0
1.520282E+1	6.537022E-6	2.325649E+6	9.938117E-5	7.600000E+0
1.540142E+1	6.591249E-6	2.336647E+6	1.015146E-4	7.700000E+0
1.560314E+1	6.646500E-6	2.347572E+6	1.037063E-4	7.800000E+0
1.580154E+1	6.701485E-6	2.357916E+6	1.058938E-4	7.900000E+0
1.600318E+1	6.757385E-6	2.368250E+6	1.081396E-4	8.000000E+0
1.620112E+1	6.812454E-6	2.378162E+6	1.103694E-4	8.100000E+0
1.640279E+1	6.868733E-6	2.388037E+6	1.126664E-4	8.200000E+0
1.660112E+1	6.924377E-6	2.397489E+6	1.149524E-4	8.300000E+0
1.680296E+1	6.981301E-6	2.406852E+6	1.173065E-4	8.400000E+0
1.700125E+1	7.037489E-6	2.415812E+6	1.196461E-4	8.500000E+0
1.720315E+1	7.095000E-6	2.424686E+6	1.220563E-4	8.600000E+0
1.740151E+1	7.151161E-6	2.433382E+6	1.244410E-4	8.700000E+0
1.760337E+1	7.209405E-6	2.441723E+6	1.269098E-4	8.800000E+0
1.780162E+1	7.267566E-6	2.449461E+6	1.293744E-4	8.900000E+0
1.800342E+1	7.325557E-6	2.457618E+6	1.318851E-4	9.000000E+0
1.820168E+1	7.383213E-6	2.465279E+6	1.343869E-4	9.100000E+0
1.840349E+1	7.442461E-6	2.472769E+6	1.369673E-4	9.200000E+0
1.860178E+1	7.501033E-6	2.479896E+6	1.395326E-4	9.300000E+0
1.880370E+1	7.561050E-6	2.486916E+6	1.421757E-4	9.400000E+0
1.900207E+1	7.620312E-6	2.493608E+6	1.448017E-4	9.500000E+0
1.920376E+1	7.680991E-6	2.500167E+6	1.475039E-4	9.600000E+0
1.940208E+1	7.741526E-6	2.506235E+6	1.502017E-4	9.700000E+0
1.960316E+1	7.802662E-6	2.512368E+6	1.529568E-4	9.800000E+0
1.980154E+1	7.863156E-6	2.518269E+6	1.557026E-4	9.900000E+0
2.000297E+1	7.924727E-6	2.524121E+6	1.585181E-4	1.000000E+1
2.020155E+1	7.986783E-6	2.529373E+6	1.613454E-4	1.010000E+1
2.040303E+1	8.049476E-6	2.534703E+6	1.642337E-4	1.020000E+1
2.060170E+1	8.112225E-6	2.539587E+6	1.671256E-4	1.030000E+1
2.080343E+1	8.175671E-6	2.544553E+6	1.700820E-4	1.040000E+1
2.100190E+1	8.238960E-6	2.549096E+6	1.730338E-4	1.050000E+1
2.120347E+1	8.303937E-6	2.553424E+6	1.760723E-4	1.060000E+1
2.140199E+1	8.368365E-6	2.557488E+6	1.790997E-4	1.070000E+1
2.160357E+1	8.433902E-6	2.561515E+6	1.822024E-4	1.080000E+1
2.180209E+1	8.499122E-6	2.565217E+6	1.852986E-4	1.090000E+1
2.200357E+1	8.565845E-6	2.568756E+6	1.884792E-4	1.100000E+1
2.220214E+1	8.632006E-6	2.572072E+6	1.916490E-4	1.110000E+1
2.240384E+1	8.699898E-6	2.575184E+6	1.949111E-4	1.120000E+1
2.260233E+1	8.767076E-6	2.578092E+6	1.981563E-4	1.130000E+1
2.280395E+1	8.835921E-6	2.580823E+6	2.014939E-4	1.140000E+1
2.300200E+1	8.904127E-6	2.583296E+6	2.048127E-4	1.150000E+1
2.320366E+1	8.972876E-6	2.585978E+6	2.082036E-4	1.160000E+1
2.340209E+1	9.043410E-6	2.587751E+6	2.116347E-4	1.170000E+1
2.360366E+1	9.118068E-6	2.588669E+6	2.152198E-4	1.180000E+1
2.380193E+1	9.185643E-6	2.591210E+6	2.186360E-4	1.190000E+1
2.400390E+1	9.257429E-6	2.592934E+6	2.222144E-4	1.200000E+1
2.420221E+1	9.329694E-6	2.594105E+6	2.257992E-4	1.210000E+1
2.440396E+1	9.404594E-6	2.594898E+6	2.295093E-4	1.220000E+1
2.460228E+1	9.477352E-6	2.595902E+6	2.331645E-4	1.230000E+1
2.480405E+1	9.552740E-6	2.596538E+6	2.369466E-4	1.240000E+1
2.500246E+1	9.627421E-6	2.597005E+6	2.407092E-4	1.250000E+1
2.520420E+1	9.703875E-6	2.597334E+6	2.445784E-4	1.260000E+1
2.540247E+1	9.780123E-6	2.597357E+6	2.484393E-4	1.270000E+1
2.560434E+1	9.858031E-6	2.597308E+6	2.524084E-4	1.280000E+1
2.580271E+1	9.935568E-6	2.597004E+6	2.563646E-4	1.290000E+1
2.600445E+1	1.001537E-5	2.596454E+6	2.604442E-4	1.300000E+1
2.620275E+1	1.009438E-5	2.595776E+6	2.645005E-4	1.310000E+1
2.640443E+1	1.017566E-5	2.594862E+6	2.686825E-4	1.320000E+1
2.660286E+1	1.025624E-5	2.593822E+6	2.728453E-4	1.320000E+1
2.680463E+1	1.033929E-5	2.592502E+6	2.771408E-4	1.330000E+1
2.700306E+1	1.042172E-5	2.591037E+6	2.814183E-4	1.350000E+1
2.718097E+1	1.049645E-5	2.589539E+6	2.853037E-4	1.360000E+1
2.740129E+1	1.058348E-5	2.589062E+6	2.900010E-4	1.380000E+1
2.760302E+1	1.067004E-5	2.586965E+6	2.945253E-4	1.390000E+1
2.780150E+1	1.075591E-5	2.584765E+6	2.990304E-4	1.400000E+1
2.800300E+1	1.084380E-5	2.582397E+6	3.036589E-4	1.410000E+1
2.820155E+1	1.093162E-5	2.579814E+6	3.082886E-4	1.420000E+1
2.840318E+1	1.102173E-5	2.577016E+6	3.130522E-4	1.430000E+1
2.860161E+1	1.111154E-5	2.574046E+6	3.178079E-4	1.440000E+1
2.879988E+1	1.120229E-5	2.570892E+6	3.226246E-4	1.450000E+1
2.900181E+1	1.129565E-5	2.567520E+6	3.275943E-4	1.460000E+1
2.920016E+1	1.138812E-5	2.564090E+6	3.325349E-4	1.480000E+1
2.940178E+1	1.148303E-5	2.560455E+6	3.376215E-4	1.480000E+1
2.960001E+1	1.157982E-5	2.556172E+6	3.427628E-4	1.490000E+1
2.980144E+1	1.167628E-5	2.552306E+6	3.479700E-4	1.500000E+1
2.999979E+1	1.177332E-5	2.548116E+6	3.531971E-4	1.520000E+1
3.020156E+1	1.187323E-5	2.543668E+6	3.585901E-4	1.530000E+1
3.039989E+1	1.197294E-5	2.539050E+6	3.639761E-4	1.530000E+1
3.060178E+1	1.207469E-5	2.534374E+6	3.695070E-4	1.540000E+1
3.080007E+1	1.217861E-5	2.529030E+6	3.751020E-4	1.550000E+1
