Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
1.584506E-3	-5.399459E-11	-2.934564E+7	-8.555475E-14	0.000000E+0
1.474721E-3	-5.213630E-11	-2.828588E+7	-7.688650E-14	1.000000E-1
1.550714E-3	-4.256432E-10	-3.643225E+6	-6.600509E-13	2.000000E-1
4.819309E-3	-8.833309E-11	-5.455837E+7	-4.257045E-13	3.000000E-1
4.751755E-3	1.095042E-10	4.339336E+7	5.203371E-13	4.000000E-1
4.810870E-3	2.597831E-10	1.851880E+7	1.249783E-12	5.000000E-1
4.869984E-3	-3.605866E-12	-1.350573E+9	-1.756051E-14	6.000000E-1
4.844652E-3	1.200637E-10	4.035068E+7	5.816668E-13	7.000000E-1
1.144940E-2	3.628836E-10	3.155116E+7	4.154799E-12	8.000000E-1
1.142406E-2	1.880651E-10	6.074524E+7	2.148467E-12	9.000000E-1
1.137339E-2	1.466728E-10	7.754260E+7	1.668167E-12	1.000000E+0
1.139028E-2	2.209677E-10	5.154726E+7	2.516884E-12	1.100000E+0
1.138183E-2	2.931083E-10	3.883148E+7	3.336109E-12	1.200000E+0
1.471799E-2	2.273452E-10	6.473851E+7	3.346064E-12	1.300000E+0
1.478556E-2	1.192189E-10	1.240203E+8	1.762718E-12	1.400000E+0
1.470955E-2	4.238992E-11	3.470058E+8	6.235366E-13	1.500000E+0
1.479400E-2	1.577813E-10	9.376270E+7	2.334217E-12	1.600000E+0
1.476022E-2	1.892899E-10	7.797680E+7	2.793961E-12	1.700000E+0
2.140720E-2	1.769148E-10	1.210029E+8	3.787251E-12	1.800000E+0
2.138186E-2	-1.209401E-10	-1.767971E+8	-2.585924E-12	1.900000E+0
2.132274E-2	1.308339E-10	1.629757E+8	2.789737E-12	2.000000E+0
2.133119E-2	1.930490E-10	1.104962E+8	4.117965E-12	2.100000E+0
2.137342E-2	1.440118E-10	1.484144E+8	3.078025E-12	2.200000E+0
2.467570E-2	7.664411E-11	3.219517E+8	1.891247E-12	2.300000E+0
2.466726E-2	1.024509E-10	2.407715E+8	2.527183E-12	2.400000E+0
2.463348E-2	2.156879E-10	1.142089E+8	5.313144E-12	2.500000E+0
2.466726E-2	1.896279E-10	1.300824E+8	4.677601E-12	2.600000E+0
2.463348E-2	1.587946E-10	1.551279E+8	3.911664E-12	2.700000E+0
3.127998E-2	6.633816E-11	4.715232E+8	2.075056E-12	2.800000E+0
3.117864E-2	6.152318E-11	5.067787E+8	1.918209E-12	2.900000E+0
3.119553E-2	8.745682E-11	3.566964E+8	2.728262E-12	3.000000E+0
3.126309E-2	1.273285E-10	2.455310E+8	3.980682E-12	3.100000E+0
3.125465E-2	1.228092E-10	2.544976E+8	3.838359E-12	3.200000E+0
3.454834E-2	9.987441E-11	3.459178E+8	3.450495E-12	3.300000E+0
3.453990E-2	1.009303E-10	3.422154E+8	3.486122E-12	3.400000E+0
3.450611E-2	1.095464E-10	3.149908E+8	3.780020E-12	3.500000E+0
3.460746E-2	1.307074E-10	2.647705E+8	4.523451E-12	3.600000E+0
3.451456E-2	9.543963E-11	3.616376E+8	3.294057E-12	3.700000E+0
4.115263E-2	6.891512E-11	5.971495E+8	2.836038E-12	3.800000E+0
4.116107E-2	5.907375E-11	6.967743E+8	2.431539E-12	3.900000E+0
4.115262E-2	1.269483E-10	3.241683E+8	5.224255E-12	4.000000E+0
4.118642E-2	1.309191E-10	3.145944E+8	5.392089E-12	4.100000E+0
4.114418E-2	1.174450E-10	3.503272E+8	4.832178E-12	4.200000E+0
4.444632E-2	5.311820E-11	8.367437E+8	2.360909E-12	4.300000E+0
4.441254E-2	8.074133E-11	5.500596E+8	3.585928E-12	4.400000E+0
4.452233E-2	9.260981E-11	4.807518E+8	4.123205E-12	4.500000E+0
4.441253E-2	1.289335E-10	3.444607E+8	5.726263E-12	4.600000E+0
4.446321E-2	1.219644E-10	3.645589E+8	5.422929E-12	4.600000E+0
5.105904E-2	1.065901E-10	4.790223E+8	5.442388E-12	4.800000E+0
5.102526E-2	1.101381E-10	4.632844E+8	5.619825E-12	4.900000E+0
5.103370E-2	1.132212E-10	4.507433E+8	5.778097E-12	5.000000E+0
5.101681E-2	1.275395E-10	4.000079E+8	6.506658E-12	5.100000E+0
5.100837E-2	6.832357E-11	7.465706E+8	3.485074E-12	5.200000E+0
5.426828E-2	7.478576E-11	7.256499E+8	4.058495E-12	5.200000E+0
5.421760E-2	4.403716E-11	1.231178E+9	2.387589E-12	5.400000E+0
5.437807E-2	1.282999E-10	4.238356E+8	6.976701E-12	5.500000E+0
5.425984E-2	1.239073E-10	4.379067E+8	6.723190E-12	5.600000E+0
5.431050E-2	1.297781E-10	4.184874E+8	7.048314E-12	5.600000E+0
6.097389E-2	5.421627E-11	1.124642E+9	3.305777E-12	5.700000E+0
6.093168E-2	6.790113E-11	8.973589E+8	4.137330E-12	5.900000E+0
6.094012E-2	8.699222E-11	7.005238E+8	5.301316E-12	6.000000E+0
6.097390E-2	1.177407E-10	5.178660E+8	7.179110E-12	6.100000E+0
6.091477E-2	1.171069E-10	5.201638E+8	7.133540E-12	6.100000E+0
6.425071E-2	1.080684E-10	5.945374E+8	6.943471E-12	6.200000E+0
6.430981E-2	1.063366E-10	6.047759E+8	6.838487E-12	6.300000E+0
6.436050E-2	1.050273E-10	6.127978E+8	6.759610E-12	6.500000E+0
6.430980E-2	1.008033E-10	6.379732E+8	6.482640E-12	6.600000E+0
6.435207E-2	8.023443E-11	8.020506E+8	5.163252E-12	6.700000E+0
7.098167E-2	8.973763E-11	7.909911E+8	6.369727E-12	6.700000E+0
7.104078E-2	3.879988E-11	1.830954E+9	2.756374E-12	6.800000E+0
7.104921E-2	1.089552E-10	6.520956E+8	7.741181E-12	6.900000E+0
7.099009E-2	9.725554E-11	7.299336E+8	6.904180E-12	7.100000E+0
7.105767E-2	9.624199E-11	7.383230E+8	6.838732E-12	7.100000E+0
7.432604E-2	5.856682E-11	1.269081E+9	4.353040E-12	7.200000E+0
7.430914E-2	8.817483E-11	8.427478E+8	6.552196E-12	7.300000E+0
7.433447E-2	1.096311E-10	6.780418E+8	8.149370E-12	7.400000E+0
7.424154E-2	1.329034E-10	5.586128E+8	9.866953E-12	7.600000E+0
7.441892E-2	1.085752E-10	6.854136E+8	8.080049E-12	7.700000E+0
8.092184E-2	1.006346E-10	8.041155E+8	8.143537E-12	7.700000E+0
8.098944E-2	1.164736E-10	6.953459E+8	9.433132E-12	7.800000E+0
8.085424E-2	1.415195E-10	5.713293E+8	1.144245E-11	7.900000E+0
8.091341E-2	1.458281E-10	5.548547E+8	1.179945E-11	8.000000E+0
8.090495E-2	7.892478E-11	1.025089E+9	6.385405E-12	8.100000E+0
