Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
4.726410E-3	2.080691E-11	2.271558E+8	9.834199E-14	0.000000E+0
1.128894E-2	1.032108E-10	1.093775E+8	1.165141E-12	1.000000E-1
2.128051E-2	1.290176E-10	1.649427E+8	2.745560E-12	2.000000E-1
3.125465E-2	1.021130E-10	3.060790E+8	3.191506E-12	2.000000E-1
4.111883E-2	4.298120E-11	9.566701E+8	1.767337E-12	4.000000E-1
5.092392E-2	5.092204E-11	1.000037E+9	2.593150E-12	5.000000E-1
6.088098E-2	1.045202E-10	5.824805E+8	6.363292E-12	6.000000E-1
7.103232E-2	1.202324E-10	5.907918E+8	8.540386E-12	6.000000E-1
8.087116E-2	9.721327E-11	8.318942E+8	7.861750E-12	7.000000E-1
9.075226E-2	4.716275E-11	1.924236E+9	4.280126E-12	8.000000E-1
1.006080E-1	-2.823022E-11	-3.563840E+9	-2.840186E-12	1.000000E+0
1.103877E-1	-2.911713E-11	-3.791160E+9	-3.214173E-12	1.100000E+0
1.206151E-1	1.673495E-12	7.207377E+10	2.018488E-13	1.200000E+0
1.306397E-1	3.977121E-11	3.284781E+9	5.195699E-12	1.200000E+0
1.404701E-1	6.361855E-12	2.208005E+10	8.936504E-13	1.300000E+0
1.504104E-1	7.601064E-11	1.978807E+9	1.143279E-11	1.400000E+0
1.602746E-1	9.248299E-11	1.733017E+9	1.482267E-11	1.600000E+0
1.701640E-1	9.755119E-11	1.744356E+9	1.659970E-11	1.600000E+0
1.801043E-1	1.136436E-10	1.584817E+9	2.046770E-11	1.700000E+0
1.899937E-1	8.276835E-11	2.295487E+9	1.572547E-11	1.800000E+0
1.998326E-1	8.306403E-11	2.405766E+9	1.659890E-11	1.900000E+0
2.097812E-1	6.832324E-11	3.070422E+9	1.433293E-11	2.100000E+0
2.196539E-1	1.058720E-10	2.074712E+9	2.325520E-11	2.100000E+0
2.295857E-1	8.906173E-11	2.577827E+9	2.044730E-11	2.200000E+0
2.394836E-1	9.835385E-11	2.434918E+9	2.355413E-11	2.300000E+0
2.493224E-1	9.924064E-11	2.512301E+9	2.474291E-11	2.400000E+0
2.592626E-1	1.032955E-10	2.509912E+9	2.678066E-11	2.500000E+0
2.691269E-1	9.902962E-11	2.717640E+9	2.665153E-11	2.700000E+0
2.791346E-1	9.176482E-11	3.041848E+9	2.561474E-11	2.700000E+0
2.891170E-1	9.383444E-11	3.081140E+9	2.712913E-11	2.800000E+0
2.989643E-1	1.074770E-10	2.781658E+9	3.213179E-11	2.900000E+0
3.088792E-1	1.130100E-10	2.733202E+9	3.490644E-11	3.000000E+0
3.188616E-1	1.187120E-10	2.686010E+9	3.785270E-11	3.200000E+0
3.287679E-1	1.038866E-10	3.164681E+9	3.415458E-11	3.200000E+0
3.421370E-1	9.772019E-11	3.501190E+9	3.343369E-11	3.300000E+0
3.520775E-1	1.033803E-10	3.405654E+9	3.639788E-11	3.400000E+0
3.619075E-1	1.105179E-10	3.274651E+9	3.999726E-11	3.500000E+0
3.718393E-1	1.055762E-10	3.521999E+9	3.925738E-11	3.600000E+0
3.817627E-1	1.070545E-10	3.566059E+9	4.086941E-11	3.700000E+0
3.917031E-1	7.356096E-11	5.324877E+9	2.881406E-11	3.800000E+0
4.015586E-1	5.556783E-11	7.226458E+9	2.231374E-11	3.900000E+0
4.114652E-1	4.146083E-11	9.924191E+9	1.705969E-11	4.000000E+0
4.212701E-1	1.537686E-10	2.739637E+9	6.477811E-11	4.100000E+0
4.312356E-1	1.076458E-10	4.006061E+9	4.642070E-11	4.200000E+0
4.412435E-1	-9.099405E-11	-4.849147E+9	-4.015053E-11	4.300000E+0
4.511077E-1	5.420101E-10	8.322865E+8	2.445049E-10	4.400000E+0
4.610227E-1	8.462703E-11	5.447700E+9	3.901498E-11	4.500000E+0
4.710133E-1	3.314590E-10	1.421030E+9	1.561216E-10	4.600000E+0
4.808774E-1	9.522816E-11	5.049739E+9	4.579307E-11	4.700000E+0
4.906988E-1	1.500088E-10	3.271133E+9	7.360914E-11	4.800000E+0
5.007073E-1	1.086596E-10	4.608036E+9	5.440665E-11	4.900000E+0
5.105122E-1	6.012926E-11	8.490246E+9	3.069672E-11	5.000000E+0
5.204356E-1	7.410980E-11	7.022494E+9	3.856938E-11	5.100000E+0
5.303589E-1	5.696155E-11	9.310823E+9	3.021007E-11	5.200000E+0
5.402483E-1	6.925252E-11	7.801136E+9	3.741356E-11	5.300000E+0
5.504419E-1	8.167014E-11	6.739818E+9	4.495467E-11	5.400000E+0
5.603229E-1	7.639051E-11	7.334980E+9	4.280335E-11	5.500000E+0
5.703477E-1	8.424669E-11	6.769972E+9	4.804991E-11	5.600000E+0
5.802374E-1	1.097578E-10	5.286525E+9	6.368558E-11	5.700000E+0
5.900676E-1	1.072657E-10	5.500991E+9	6.329401E-11	5.800000E+0
6.000248E-1	7.833351E-11	7.659874E+9	4.700205E-11	5.900000E+0
6.098805E-1	1.432938E-10	4.256154E+9	8.739209E-11	6.000000E+0
6.197358E-1	1.395766E-10	4.440112E+9	8.650062E-11	6.100000E+0
6.296763E-1	1.076880E-10	5.847228E+9	6.780858E-11	6.200000E+0
6.395743E-1	1.365781E-10	4.682847E+9	8.735184E-11	6.300000E+0
6.494638E-1	1.628495E-10	3.988123E+9	1.057649E-10	6.400000E+0
6.594886E-1	1.473063E-10	4.476988E+9	9.714683E-11	6.500000E+0
6.693524E-1	1.532615E-10	4.367388E+9	1.025860E-10	6.600000E+0
6.792930E-1	1.501785E-10	4.523237E+9	1.020152E-10	6.700000E+0
6.891741E-1	1.145306E-10	6.017380E+9	7.893152E-11	6.800000E+0
6.990803E-1	1.590058E-10	4.396571E+9	1.111578E-10	6.900000E+0
7.089952E-1	1.982017E-10	3.577140E+9	1.405241E-10	7.000000E+0
7.188848E-1	1.633563E-10	4.400717E+9	1.174344E-10	7.100000E+0
7.288504E-1	1.252164E-10	5.820726E+9	9.126402E-11	7.200000E+0
7.419914E-1	1.368316E-10	5.422661E+9	1.015279E-10	7.300000E+0
