Magnetic field (mT)	 Magnetization (arb. units)
1.250000e+02	-1.524180e-03
1.200000e+02	-1.526513e-03
1.150000e+02	-1.524280e-03
1.100000e+02	-1.523590e-03
1.050000e+02	-1.523177e-03
1.000000e+02	-1.525007e-03
9.500000e+01	-1.522523e-03
9.000000e+01	-1.524223e-03
8.500000e+01	-1.523293e-03
8.000000e+01	-1.519537e-03
7.500000e+01	-1.521233e-03
7.000000e+01	-1.515637e-03
6.500000e+01	-1.518373e-03
6.000000e+01	-1.513350e-03
5.900000e+01	-1.516133e-03
5.800000e+01	-1.510000e-03
5.700000e+01	-1.512467e-03
5.600000e+01	-1.511030e-03
5.500000e+01	-1.506863e-03
5.400000e+01	-1.505887e-03
5.300000e+01	-1.502530e-03
5.200000e+01	-1.506893e-03
5.100000e+01	-1.497840e-03
5.000000e+01	-1.499790e-03
4.900000e+01	-1.501477e-03
4.800000e+01	-1.493510e-03
4.700000e+01	-1.489507e-03
4.600000e+01	-1.486753e-03
4.500000e+01	-1.488933e-03
4.400000e+01	-1.482687e-03
4.300000e+01	-1.474777e-03
4.200000e+01	-1.470687e-03
4.100000e+01	-1.468730e-03
4.000000e+01	-1.460587e-03
3.900000e+01	-1.458890e-03
3.800000e+01	-1.453123e-03
3.700000e+01	-1.440867e-03
3.600000e+01	-1.434393e-03
3.500000e+01	-1.423843e-03
3.400000e+01	-1.413420e-03
3.300000e+01	-1.403823e-03
3.200000e+01	-1.394573e-03
3.100000e+01	-1.381277e-03
3.000000e+01	-1.370003e-03
2.900000e+01	-1.360700e-03
2.800000e+01	-1.343223e-03
2.700000e+01	-1.327950e-03
2.600000e+01	-1.308523e-03
2.500000e+01	-1.295127e-03
2.400000e+01	-1.275620e-03
2.300000e+01	-1.258977e-03
2.200000e+01	-1.238260e-03
2.100000e+01	-1.217067e-03
2.000000e+01	-1.194860e-03
1.900000e+01	-1.173157e-03
1.800000e+01	-1.153273e-03
1.700000e+01	-1.126373e-03
1.600000e+01	-1.106593e-03
1.500000e+01	-1.076110e-03
1.400000e+01	-1.048250e-03
1.300000e+01	-1.028917e-03
1.200000e+01	-9.969697e-04
1.100000e+01	-9.680777e-04
1.000000e+01	-9.414357e-04
9.000000e+00	-9.127180e-04
8.000000e+00	-8.796307e-04
7.000000e+00	-8.459117e-04
6.000000e+00	-8.194433e-04
5.000000e+00	-7.790857e-04
4.000000e+00	-7.524403e-04
3.000000e+00	-7.163663e-04
2.000000e+00	-6.812050e-04
1.950000e+00	-6.761173e-04
1.900000e+00	-6.771900e-04
1.850000e+00	-6.787507e-04
1.800000e+00	-6.746287e-04
1.750000e+00	-6.741227e-04
1.700000e+00	-6.700863e-04
1.650000e+00	-6.706703e-04
1.600000e+00	-6.652617e-04
1.550000e+00	-6.625083e-04
1.500000e+00	-6.614773e-04
1.450000e+00	-6.613060e-04
1.400000e+00	-6.580353e-04
1.350000e+00	-6.570523e-04
1.300000e+00	-6.597660e-04
1.250000e+00	-6.541027e-04
1.200000e+00	-6.502197e-04
1.150000e+00	-6.564387e-04
1.100000e+00	-6.477613e-04
1.050000e+00	-6.458260e-04
1.000000e+00	-6.448403e-04
9.500000e-01	-6.471123e-04
9.000000e-01	-6.413263e-04
8.500000e-01	-6.437160e-04
8.000000e-01	-6.406147e-04
7.500000e-01	-6.379867e-04
7.000000e-01	-6.337370e-04
6.500000e-01	-6.373447e-04
6.000000e-01	-6.345663e-04
5.500000e-01	-6.343197e-04
5.000000e-01	-6.307420e-04
4.500000e-01	-6.246003e-04
4.000000e-01	-6.248360e-04
3.500000e-01	-6.269563e-04
3.000000e-01	-6.245070e-04
2.500000e-01	-6.259580e-04
2.000000e-01	-6.220777e-04
1.500000e-01	-6.192190e-04
