Magnetic field (mT)	 Magnetization (arb. units)
1.200000e+02	-1.094383e-03
1.150000e+02	-1.091110e-03
1.100000e+02	-1.092917e-03
1.050000e+02	-1.088123e-03
1.000000e+02	-1.091560e-03
9.500000e+01	-1.089417e-03
9.000000e+01	-1.091900e-03
8.500000e+01	-1.088570e-03
8.000000e+01	-1.091240e-03
7.500000e+01	-1.088053e-03
7.000000e+01	-1.090290e-03
6.500000e+01	-1.087953e-03
6.000000e+01	-1.091157e-03
5.500000e+01	-1.089460e-03
5.000000e+01	-1.087297e-03
4.500000e+01	-1.086873e-03
4.000000e+01	-1.092777e-03
3.500000e+01	-1.092380e-03
3.000000e+01	-1.091417e-03
2.900000e+01	-1.090987e-03
2.800000e+01	-1.090803e-03
2.700000e+01	-1.093260e-03
2.600000e+01	-1.090737e-03
2.500000e+01	-1.091933e-03
2.400000e+01	-1.089703e-03
2.300000e+01	-1.088987e-03
2.200000e+01	-1.087327e-03
2.100000e+01	-1.085080e-03
2.000000e+01	-1.088020e-03
1.900000e+01	-1.082300e-03
1.800000e+01	-1.082897e-03
1.700000e+01	-1.075883e-03
1.600000e+01	-1.073300e-03
1.500000e+01	-1.061250e-03
1.400000e+01	-1.048697e-03
1.300000e+01	-1.034083e-03
1.200000e+01	-1.012007e-03
1.100000e+01	-9.911903e-04
1.000000e+01	-9.638487e-04
9.000000e+00	-9.347570e-04
8.000000e+00	-9.069157e-04
7.000000e+00	-8.729657e-04
6.000000e+00	-8.421480e-04
5.000000e+00	-8.020783e-04
4.750000e+00	-7.928527e-04
4.500000e+00	-7.832097e-04
4.250000e+00	-7.725973e-04
4.000000e+00	-7.624243e-04
3.750000e+00	-7.509143e-04
3.500000e+00	-7.391470e-04
3.250000e+00	-7.316453e-04
3.000000e+00	-7.197377e-04
2.750000e+00	-7.076003e-04
2.500000e+00	-7.005723e-04
2.250000e+00	-6.884980e-04
2.000000e+00	-6.778920e-04
1.750000e+00	-6.661120e-04
1.500000e+00	-6.547097e-04
1.250000e+00	-6.414460e-04
1.000000e+00	-6.294233e-04
9.500000e-01	-6.250947e-04
9.000000e-01	-6.206280e-04
8.500000e-01	-6.190467e-04
8.000000e-01	-6.151747e-04
7.500000e-01	-6.115583e-04
7.000000e-01	-6.148827e-04
6.500000e-01	-6.109483e-04
6.000000e-01	-6.084973e-04
5.500000e-01	-6.064187e-04
5.000000e-01	-6.060250e-04
4.500000e-01	-6.023107e-04
4.000000e-01	-6.024473e-04
3.500000e-01	-6.007277e-04
3.000000e-01	-5.969830e-04
2.500000e-01	-5.973463e-04
2.000000e-01	-5.960313e-04
1.500000e-01	-5.954040e-04
1.000000e-01	-5.940370e-04
5.000000e-02	-5.929837e-04
0.000000e+00	-5.886120e-04
-5.000000e-02	-5.884323e-04
-1.000000e-01	-5.852527e-04
-1.500000e-01	-5.817093e-04
-2.000000e-01	-5.795547e-04
-2.500000e-01	-5.732730e-04
-3.000000e-01	-5.723280e-04
-3.500000e-01	-5.698143e-04
-4.000000e-01	-5.639827e-04
-4.500000e-01	-5.597753e-04
-5.000000e-01	-5.582070e-04
-5.500000e-01	-5.524447e-04
-6.000000e-01	-5.534290e-04
-6.500000e-01	-5.457970e-04
-7.000000e-01	-5.470627e-04
-7.500000e-01	-5.419103e-04
-8.000000e-01	-5.389983e-04
-8.500000e-01	-5.381853e-04
-9.000000e-01	-5.348933e-04
-9.500000e-01	-5.294053e-04
-1.000000e+00	-5.306037e-04
-1.050000e+00	7.331020e-04
-1.100000e+00	1.758210e-03
-1.150000e+00	1.915663e-03
-1.200000e+00	1.922407e-03
-1.250000e+00	1.924423e-03
-1.300000e+00	1.925697e-03
-1.350000e+00	1.925947e-03
-1.400000e+00	1.928550e-03
-1.450000e+00	1.931977e-03
-1.500000e+00	1.936290e-03
-1.550000e+00	1.938350e-03
-1.600000e+00	1.940487e-03
-1.650000e+00	1.940670e-03
-1.700000e+00	1.946430e-03
-1.750000e+00	1.948737e-03
-1.800000e+00	1.955930e-03
-1.850000e+00	1.956560e-03
-1.900000e+00	1.956117e-03
-1.950000e+00	1.961427e-03
-2.000000e+00	1.965480e-03
-2.050000e+00	1.968670e-03
-2.100000e+00	1.973463e-03
-2.150000e+00	1.971307e-03
-2.200000e+00	1.977000e-03
-2.250000e+00	1.980467e-03
-2.300000e+00	1.984393e-03
-2.350000e+00	1.986027e-03
-2.400000e+00	1.985957e-03
-2.450000e+00	1.987160e-03
-2.500000e+00	1.988700e-03
-2.550000e+00	1.988923e-03
-2.600000e+00	1.991377e-03
-2.650000e+00	1.993400e-03
-2.700000e+00	1.993990e-03
-2.750000e+00	1.996337e-03
-2.800000e+00	1.996927e-03
-2.850000e+00	2.000897e-03
-2.900000e+00	1.999233e-03
-2.950000e+00	2.004187e-03
-3.000000e+00	2.004400e-03
-3.050000e+00	2.004817e-03
-3.100000e+00	2.009773e-03
-3.150000e+00	2.010243e-03
-3.200000e+00	2.013080e-03
-3.250000e+00	2.012570e-03
-3.300000e+00	2.017283e-03
-3.350000e+00	2.020560e-03
-3.400000e+00	2.024147e-03
-3.450000e+00	2.025053e-03
-3.500000e+00	2.028297e-03
-3.550000e+00	2.031337e-03
-3.600000e+00	2.035737e-03
-3.650000e+00	2.038493e-03
-3.700000e+00	2.040990e-03
-3.750000e+00	2.040113e-03
-3.800000e+00	2.047303e-03
-3.850000e+00	2.048807e-03
-3.900000e+00	2.049913e-03
-3.950000e+00	2.054600e-03
-4.000000e+00	2.056083e-03
-4.050000e+00	2.059980e-03
-4.100000e+00	2.063470e-03
-4.150000e+00	2.063660e-03
-4.200000e+00	2.064670e-03
-4.250000e+00	2.065373e-03
-4.300000e+00	2.068570e-03
-4.350000e+00	2.072193e-03
-4.400000e+00	2.072060e-03
-4.450000e+00	2.074993e-03
-4.500000e+00	2.078270e-03
-4.550000e+00	2.080420e-03
-4.600000e+00	2.079950e-03
-4.650000e+00	2.082727e-03
-4.700000e+00	2.085187e-03
-4.750000e+00	2.091463e-03
-4.800000e+00	2.087823e-03
-4.850000e+00	2.091177e-03
-4.900000e+00	2.094440e-03
-4.950000e+00	2.099183e-03
-5.000000e+00	2.100210e-03
-5.250000e+00	2.107833e-03
-5.500000e+00	2.117417e-03
-5.750000e+00	2.126200e-03
-6.000000e+00	2.139303e-03
-6.250000e+00	2.149410e-03
-6.500000e+00	2.154690e-03
-6.750000e+00	2.166297e-03
-7.000000e+00	2.172157e-03
-7.250000e+00	2.181240e-03
-7.500000e+00	2.187897e-03
-7.750000e+00	2.197843e-03
-8.000000e+00	2.212963e-03
-8.250000e+00	2.222247e-03
-8.500000e+00	2.230197e-03
-8.750000e+00	2.250203e-03
-9.000000e+00	2.255470e-03
-9.250000e+00	2.273313e-03
-9.500000e+00	2.277437e-03
-9.750000e+00	2.292357e-03
-1.000000e+01	2.301373e-03
-1.100000e+01	2.332923e-03
-1.200000e+01	2.346530e-03
-1.300000e+01	2.341753e-03
-1.400000e+01	2.354960e-03
-1.500000e+01	2.345150e-03
-1.600000e+01	2.343720e-03
-1.700000e+01	2.354817e-03
-1.800000e+01	2.321047e-03
-1.900000e+01	2.324913e-03
-2.000000e+01	2.362230e-03
-2.100000e+01	2.361093e-03
-2.200000e+01	2.361283e-03
-2.300000e+01	2.360207e-03
-2.400000e+01	2.357407e-03
-2.500000e+01	2.358017e-03
-2.600000e+01	2.354003e-03
-2.700000e+01	2.356660e-03
-2.800000e+01	2.355003e-03
-2.900000e+01	2.355993e-03
-3.000000e+01	2.353833e-03
-3.500000e+01	2.359017e-03
-4.000000e+01	2.357727e-03
-4.500000e+01	2.359033e-03
-5.000000e+01	2.356270e-03
-5.500000e+01	2.362963e-03
-6.000000e+01	2.358720e-03
-6.500000e+01	2.362860e-03
-7.000000e+01	2.361990e-03
-7.500000e+01	2.361147e-03
-8.000000e+01	2.363450e-03
-8.500000e+01	2.365480e-03
-9.000000e+01	2.365267e-03
-9.500000e+01	2.364297e-03
-1.000000e+02	2.364253e-03
-1.050000e+02	2.361660e-03
-1.100000e+02	2.360130e-03
-1.150000e+02	2.361587e-03
-1.200000e+02	2.364077e-03
-1.150000e+02	2.360210e-03
-1.100000e+02	2.362320e-03
-1.050000e+02	2.360170e-03
-1.000000e+02	2.363093e-03
-9.500000e+01	2.362767e-03
-9.000000e+01	2.365430e-03
-8.500000e+01	2.364330e-03
-8.000000e+01	2.368593e-03
